Source,Target,Weight
imwithher,rigged,70
imwithher,ripgop,70
imwithher,sexism,70
imwithher,blackvotesmatter,70
imwithher,weneednine,69
imwithher,ele,69
imwithher,nvtogether,69
imwithher,womenshealthcare,69
imwithher,flushyoutrump,69
imwithher,teamhillary,69
imwithher,flvotesearly,69
imwithher,cripthevote,69
imwithher,yeswecan,69
imwithher,nyc,68
imwithher,jillstein2016,68
imwithher,equality,68
imwithher,anthonyweiner,68
imwithher,cherylmills,68
imwithher,mn,67
imwithher,notokay,67
imwithher,txlege,66
imwithher,w,66
imwithher,everyvotecounts,66
imwithher,podestaemails21,66
imwithher,presidentialelection,66
imwithher,lgbtrights,66
imwithher,trumpisarapist,66
imwithher,independents,66
imwithher,projectveritas,65
imwithher,coup,65
imwithher,feelthejohnson,65
imwithher,hillaryshuma,65
imwithher,orlando,65
imwithher,donate,65
imwithher,hypocrite,64
imwithher,democracy,64
imwithher,somosfl,64
imwithher,hill,64
imwithher,hillno,64
imwithher,loveandkindness,64
imwithher,trumpleaks,64
imwithher,islam,63
imwithher,vo,63
imwithher,pussygrabsback,63
imwithher,investigatetrump,63
imwithher,withher,63
imwithher,michelleobama,63
imwithher,basketofdeplorables,63
imwithher,forwardtogether,63
imwithher,wisconsinbadgers,63
imwithher,trumpmovement,63
imwithher,trumpsarmy,63
imwithher,makehi,63
imwithher,g,62
imwithher,ainf,62
imwithher,45,61
imwithher,trumptrainwreck,61
imwithher,girls,61
imwithher,imwithtur,61
imwithher,dangerous,61
imwithher,sociopath,61
imwithher,enough,61
imwithher,go,60
imwithher,hypocrisy,60
imwithher,shewinswewin,60
imwithher,michiganfootball,60
imwithher,liberals,59
imwithher,billclinton,59
imwithher,trumpputin,59
imwithher,latinoswithhillary,59
imwithher,dwts,59
imwithher,thevotingdead,59
imwithher,strongerthanbefore,59
imwithher,motivationmonday,58
imwithher,teenchoice,58
imwithher,education,58
imwithher,trumptra,58
imwithher,weinermobile,58
imwithher,flipidem,58
imwithher,noflynobuy,58
imwithher,wikileak,58
imwithher,shewon,58
imwithher,gohillarytoprison,58
imwithher,philly,58
imwithher,notreally,58
imwithher,obamacoalition,58
imwithher,trumpkin,57
imwithher,vot,57
imwithher,never,57
imwithher,timblackwolfpack,57
imwithher,listosporhillary,57
imwithher,badhombre,57
imwithher,rhoa,57
imwithher,treasonoustrump,56
imwithher,tnt,56
imwithher,weldswithher,56
imwithher,trumpkins,56
imwithher,potus2016,56
imwithher,newcong,56
imwithher,voting,55
imwithher,treason,55
imwithher,barackthevote,55
imwithher,millennialsforhillary,55
imwithher,russ4us,55
imwithher,nevertrum,55
imwithher,bringbackbernie,55
imwithher,whitegenocide,55
imwithher,nevergop,55
imwithher,witchhunt,54
imwithher,podestaemail,54
imwithher,cleanenergy,54
imwithher,newday,54
imwithher,shattertheceiling,54
imwithher,doublestandard,54
imwithher,pepe,54
imwithher,dncleak,53
imwithher,riggedsystem,53
imwithher,prochoice,53
imwithher,rednationrising,53
imwithher,hoover,53
imwithher,trumprape,53
imwithher,wiright,53
imwithher,thelastword,52
imwithher,al,52
imwithher,ar,52
imwithher,blacklives,52
imwithher,clin,52
imwithher,chicago,52
imwithher,flipsenate,52
imwithher,strongertogetherget,52
imwithher,copolitics,52
imwithher,turnazblue,52
imwithher,womencans,52
imwithher,democraticparty,51
imwithher,jillnothil,51
imwithher,28,51
imwithher,progress,51
imwithher,imwithhernot,51
imwithher,ok,51
imwithher,russian,51
imwithher,sickofemails,51
imwithher,hillorado,51
imwithher,steinbaraka,51
imwithher,russellsimmons,51
imwithher,africanamericans,51
imwithher,voteblu,51
imwithher,dumpgopcongress,51
imwithher,wewillrise,50
imwithher,ph,50
imwithher,debates2016,50
imwithher,jlo,50
imwithher,vets,50
imwithher,criminaljusticereform,50
imwithher,lgbtequality,50
imwithher,nevertrumpers,50
imwithher,unitebluefeelthebernwithhillary,50
imwithher,1uvote,50
imwithher,trumprapecase,50
imwithher,nm,49
imwithher,blacks4trump,49
imwithher,pinkoutthevote,49
imwithher,carlosdanger,49
imwithher,love,49
imwithher,patrickmurphy,49
imwithher,gohil,49
imwithher,voteyourfuture,49
imwithher,voteblueamerica,48
imwithher,sheswit,48
imwithher,votelikeyourlifedepe,48
imwithher,andher,48
imwithher,theyrewithher,48
imwithher,agentsofshield,48
imwithher,grabthembythepussy,48
imwithher,imwithherinprison,48
imwithher,newtgingrich,48
imwithher,girlpower,48
imwithher,union,48
imwithher,nast,48
imwithher,7days,48
imwithher,mediabias,48
imwithher,voteb,47
imwithher,dumpthetrump,47
imwithher,imwithherandher,47
imwithher,nhsen,47
imwithher,nev,47
imwithher,equalpay,47
imwithher,heforshe,47
imwithher,1hourmoresleep,47
imwithher,1u,46
imwithher,hitlertrump,46
imwithher,waar,46
imwithher,hillbullies,46
imwithher,breakingnews,46
imwithher,clintonnewsnetwork,46
imwithher,ac360,46
imwithher,boeing,46
imwithher,conman,46
imwithher,votehilary,46
imwithher,parentingtips,46
imwithher,comeycoup,46
imwithher,weinerleak,46
imwithher,tlot,46
imwithher,fliphouse,46
imwithher,burytrumpinalandslide,46
imwithher,trumpserver,46
imwithher,cher,45
imwithher,president,45
imwithher,teamkatie,45
imwithher,imwither,45
imwithher,sad,45
imwithher,clintoncash,45
imwithher,liberal,45
imwithher,anonymous,45
imwithher,wholef,44
imwithher,thursdaythoughts,44
imwithher,trumpsextape,44
imwithher,humanrightscampaign,44
imwithher,clintonka,44
imwithher,tyvm4rt,44
imwithher,trumpland,44
imwithher,whinylittlebitch,44
imwithher,imwith,44
imwithher,vegas,44
imwithher,cocktobersurprise,44
imwithher,stro,43
imwithher,podesta24,43
imwithher,georgia,43
imwithher,tweetoftheday,43
imwithher,cnbc,43
imwithher,dnc2016,43
imwithher,jenniferlopez,43
imwithher,louisck,43
imwithher,blacksfortrump,43
imwithher,pdmfnb,43
imwithher,womenshistorymonth,43
imwithher,iowa,43
imwithher,nytimes,43
imwithher,hillarysema,43
imwithher,dieforher,42
imwithher,hilladelphia,42
imwithher,gogreen,42
imwithher,trumpfraud,42
imwithher,disabled,42
imwithher,utpol,42
imwithher,flotus,42
imwithher,imnotwithher,42
imwithher,nevettrump,42
imwithher,drumpf,42
imwithher,thedangersofdonaldtrump,42
imwithher,broadwayforhillary,42
imwithher,lovehillary,42
imwithher,gavoter,41
imwithher,sexualpredator,41
imwithher,votepureballotblue,41
imwithher,newmexico,41
imwithher,nhtogether,41
imwithher,electionfraud,41
imwithher,extremevetting,41
imwithher,wtf,41
imwithher,gays,41
imwithher,jobs,41
imwithher,nvsen,41
imwithher,i,40
imwithher,voteagainsthate,40
imwithher,teamclinton,40
imwithher,fot,40
imwithher,gopwomen,40
imwithher,election2,40
imwithher,yovoyavotar,40
imwithher,hfa,40
imwithher,momsdemandhi,40
imwithher,lgbtqtogether,40
imwithher,progessives,40
imwithher,blue,40
imwithher,pos,40
imwithher,drainthesw,40
imwithher,dogsforhillary,40
imwithher,nurses4hillary,40
imwithher,hispanics,40
imwithher,sweetjesus,40
imwithher,democratvote,40
imwithher,wallstreet,40
imwithher,trumpwilllosebigly,40
imwithher,import,40
imwithher,climate,40
imwithher,imnotwithhim,40
imwithher,healthcare,40
imwithher,votesenateblue,40
imwithher,despicabletrump,40
imwithher,rapeampkill,40
imwithher,sheswithher,39
imwithher,trump16,39
imwithher,supremecourt,39
imwithher,hillaryforpresident2016,39
imwithher,comeyletter,39
imwithher,ohiostate,39
imwithher,weinersoutforweiner,39
imwithher,psu,39
imwithher,feminist,39
imwithher,turnout,39
imwithher,imwiththem,39
imwithher,dumbtweet,39
imwithher,hrcle,39
imwithher,2016,39
imwithher,noflyzone,39
imwithher,ada,39
imwithher,nationalcatday,39
imwithher,neverher,39
imwithher,hillaryforprisionprision,38
imwithher,askingforafriend,38
imwithher,votesforwomen,38
imwithher,shewillwin,38
imwithher,wevote,38
imwithher,nothanks,38
imwithher,teamkhary,38
imwithher,quote,38
imwithher,losertrump,38
imwithher,nationalnow,38
imwithher,traitortrump,38
imwithher,history,38
imwithher,voteloving,38
imwithher,trumpistsforskool,38
imwithher,latinoforhillary,38
imwithher,clintonby1,38
imwithher,pmjoy,38
imwithher,votetr,37
imwithher,aapi,37
imwithher,voteblueeveryraceeachelection,37
imwithher,beattrump,37
imwithher,latinas4hillary,37
imwithher,lol,37
imwithher,jonsnow,37
imwithher,septastrike,37
imwithher,predator,37
imwithher,getthewordout,37
imwithher,refugeeswelcome,37
imwithher,11thhour,37
imwithher,google,37
imwithher,blutah,37
imwithher,dangerousdon,37
imwithher,thatawesomemoment,36
imwithher,mapoli,36
imwithher,hillarycl,36
imwithher,neverhi,36
imwithher,standingrock,36
imwithher,cr,36
imwithher,wearefl,36
imwithher,gotrump,36
imwithher,billsrapes,36
imwithher,wakeup,36
imwithher,mtp,36
imwithher,veterans,36
imwithher,weare,36
imwithher,unitebl,36
imwithher,tampa,36
imwithher,icantrememberthelasttime,36
imwithher,illegals,36
imwithher,sherises,36
imwithher,boycottcnn,36
imwithher,hillaryclintonliesmatter,35
imwithher,donlemon,35
imwithher,kadzik,35
imwithher,byeorangefelicia,35
imwithher,boycottrump,35
imwithher,trumpst,35
imwithher,hillary4president,35
imwithher,gomom,35
imwithher,democratsvote,35
imwithher,gophipocrisy,35
imwithher,8-Nov,35
imwithher,votingmatters,35
imwithher,podfourida,35
imwithher,wienergate,35
imwithher,votehrc,35
imwithher,grabhimbytheballot,35
imwithher,bigot,35
imwithher,hispanic,35
imwithher,waronwomen,35
imwithher,cripthevo,35
imwithher,teaparty,35
imwithher,cats,35
imwithher,1,34
imwithher,nationalstressawarenessday,34
imwithher,2a,34
imwithher,votelove,34
imwithher,madashell,34
imwithher,am,34
imwithher,evanmcmullin,34
imwithher,dakotaaccesspipeline,34
imwithher,criminalactivity,34
imwithher,afscme,34
imwithher,dearfriends,34
imwithher,students,34
imwithher,humanrights,34
imwithher,ohdems,34
imwithher,future,34
imwithher,flythew,34
imwithher,foxnews2016,34
imwithher,lvanlan89814,34
imwithher,99problems,34
imwithher,votetrump2016,34
imwithher,cough,34
imwithher,hillarysbullies,34
