Source,Target,Weight
election2016,socialjustice,27
election2016,tbt,27
election2016,mymuslimvote,26
election2016,1,26
election2016,markets,26
election2016,voteirl,26
election2016,genderavenger,26
election2016,thehorserace,26
election2016,steynposts,26
election2016,israel,26
election2016,ca,26
election2016,momlife,26
election2016,teamtrump,26
election2016,whitehouse,26
election2016,michaeljackson,26
election2016,independent,26
election2016,nmpolitics,26
election2016,election2016s,26
election2016,soros,26
election2016,energy,25
election2016,t,25
election2016,cro,25
election2016,democraticparty,25
election2016,nativevote,25
election2016,gop2016,25
election2016,nh,25
election2016,debates2016,25
election2016,downballot,25
election2016,terribletrump,25
election2016,latinovoters,25
election2016,kkk,25
election2016,nationalguard,25
election2016,votelocal,24
election2016,deplorables,24
election2016,firecomey,24
election2016,satire,24
election2016,godblessamerica,24
election2016,nhpolitics,24
election2016,ir,24
election2016,nevertrumpers,24
election2016,8-Nov,24
election2016,sanfrancisco,24
election2016,trumpputin,24
election2016,dataviz,24
election2016,republicanparty,24
election2016,ajamubaraka,24
election2016,hillaryclintons,24
election2016,humor,24
election2016,debates,24
election2016,beforetheflood,24
election2016,realdonaldtrump,24
election2016,fractionma,24
election2016,yourvoteyourvoice,24
election2016,problem,24
election2016,iacaucus,24
election2016,green2016,24
election2016,newjersey,24
election2016,cre,23
election2016,marketing,23
election2016,dra,23
election2016,stockmarket,23
election2016,actforamerica,23
election2016,wi,23
election2016,connecttheleft,23
election2016,hillaryindicment,23
election2016,hildebeast,23
election2016,crooked,23
election2016,votethemallout,23
election2016,puppet,23
election2016,corrupt,23
election2016,42inco,23
election2016,badhombre,23
election2016,floridavote,23
election2016,stoptpp,23
election2016,lies,23
election2016,journalism,23
election2016,donaldtrumps,23
election2016,withher,23
election2016,farrakhan,23
election2016,aca,23
election2016,ourvotematters,23
election2016,baltimore,23
election2016,e,22
election2016,hate,22
election2016,quoteoftheday,22
election2016,itsmyvote,22
election2016,blackvote,22
election2016,citizensunited,22
election2016,billclinton,22
election2016,podesta26,22
election2016,pence,22
election2016,2nextprez,22
election2016,revolution,22
election2016,hillno,22
election2016,bringbackbernie,22
election2016,fraud,22
election2016,respectmyvote,22
election2016,donttreadonme,22
election2016,ohdems,22
election2016,waelex,22
election2016,campaign,22
election2016,rap,22
election2016,kochbrothers,22
election2016,partyofthecentury,22
election2016,immigrationvoter,22
election2016,mediabias,22
election2016,jonstewart,22
election2016,tru,21
election2016,food,21
election2016,election2017,21
election2016,nv,21
election2016,gmw,21
election2016,breakingnews,21
election2016,imnotwithher,21
election2016,polling,21
election2016,trumanproject,21
election2016,party,21
election2016,amurica,21
election2016,retweet,21
election2016,hillaryforprison2016,21
election2016,rememberinnovember,21
election2016,podernfamily,21
election2016,nwo,21
election2016,womensrights,21
election2016,mostread,21
election2016,xaniatube,21
election2016,sexism,21
election2016,coffee,21
election2016,imvoting4jillbecause,21
election2016,imwither,21
election2016,qaeda,21
election2016,kids,21
election2016,eattheelite,21
election2016,limitedgoverment,21
election2016,children,21
election2016,work,20
election2016,recomiendo,20
election2016,dc,20
election2016,el,20
election2016,foodporn,20
election2016,whyivote,20
election2016,everyonein2016,20
election2016,evangelical,20
